Don't Let Me Down (feat. Daya),Dance, 00:03:29,2016,160,B maj,The Chainsmokers - Don't Let Me Down (Audio) ft. Daya,The Chainsmokers
Closer (feat. Halsey),Dance, 00:04:03,2016,95,D# maj,Closer,The Chainsmokers
Let Me Love You,Dance, 00:03:24,2016,100,C min,Let Me Love You,DJ Snake & Justin Bieber
Cold Water (feat. Justin Bieber & M?),Dance, 00:03:08,2016,93,A maj,Cold Water,Major Lazer
This Is What You Came For (feat. Rihanna),Dance, 00:03:59,2016,124,A min,Calvin Harris ft. Rihanna - This is what you came for  LYRICS,Calvin Harris
Treat You Better,Pop, 00:04:16 ,2016,83,Bb minor,Shawn Mendes - Treat You Better,Shawn Mendes
Gold,Pop, 00:03:37,2016,113,Ab maj,Kiiara - Gold (Official Video),Kiiara
Cheap Thrills (feat. Sean Paul),Pop, 00:03:31,2016,90,F# min,Sia - Cheap Thrills (Audio),Sia
Sit Still- Look Pretty,Pop, 00:03:27,2016,91,D maj,Daya - Sit Still- Look Pretty (Audio Only),Daya
i hate u- i love u (feat. olivia o'brien),Pop, 00:03:47,2016,92,F# min,gnash - i hate u- i love u (ft. olivia o'brien),gnash
Heathens,Alternative, 00:03:13,2016,90,E min,Twenty One Pilots - Heathens,twenty one pilots
Ride,Alternative, 00:03:34,2015,75,F# maj,twenty one pilots - Ride,twenty one pilots
Hymn for the Weekend,Alternative, 00:03:57,2015,90,C min,Coldplay - Hymn for the weekend (Audio),Coldplay
Unsteady,Alternative, 00:03:26,2015,58,B min,X Ambassadors - Unsteady,X Ambassadors
HandClap,Alternative, 00:03:11,2016,140,C min,Fitz and the Tantrums - HandClap,Fitz & The Tantrums
The Sound of Silence,Rock, 00:04:04,2015,84,F# min,Disturbed - The Sound Of Silence (HQHD),Disturbed
Bang Bang,Rock, 00:03:31,2016,128,A maj,Green Day - Bang Bang (Official Lyric Video),Green Day
Shut Up and Dance,Rock, 00:03:18,2014,126,C maj,WALK THE MOON - Shut Up and Dance,Walk The Moon
Take Me to Church,Rock, 00:04:00,2014,64,E min,Hozier - Take Me To Church (Audio),Hozier
Centuries,Rock, 00:03:48,2015,92,E min,Fall Out Boy - Centuries (Audio),Fall Out Boy
Uptown Funk (feat. Bruno Mars),Pop, 00:04:31,2015,112,D min,Mark Ronson - Uptown Funk (Audio) ft. Bruno Mars,
Can't Feel My Face,R&B, 00:03:38,2015,104,A min,The Weeknd - Can't Feel My Face,The Weeknd
Shake It Off,Pop, 00:03:39,2014,160,G maj,Taylor Swift   Shake It Off Audio HQ,Taylor Swift
Roses (feat. ROZES),Dance, 00:03:50,2015,100,E maj,Roses,The Chainsmokers
Sugar,Pop, 00:03:58,2015,124,Db maj,Maroon 5 Sugar (Audio),Maroon 5
Demons,Alternative, 00:03:56,2012,96,Eb maj,Imagine Dragons - Demons,Imagine Dragons
Starving (feat. Zedd),Pop, 00:03:04,2016,100,E maj,Hailee Steinfeld- Grey - Starving ft. Zedd,Hailee Steinfeld & Grey
Photograph,Acoustic, 00:04:29,2014,110,E maj,Ed Sheeran   Photograph,Ed Sheeran
Not Today,Alternative, 00:04:18,2016,112,C maj,Imagine Dragons - Not Today,Imagine Dragons
Lost Stars,Pop, 00:04:33,2014,84,C maj,Adam Levine - Lost Stars,Adam Levine
